;;;;;;;;;;;
;;HOc2;LGOc6;;;HOc2;LGOc6;;;HOc2;LGOc6
 	42.158,63 ;3/6/15 15:00;1,9031;597,75;;6/3/15 15:00;1,9037;598,5;;6/4/15 1:30;11;5
 	42.158,65 ;3/6/15 15:30;1,9015;597;;6/3/15 15:30;1,9027;597,75;;6/4/15 2:00;16;1
 	42.158,67 ;3/6/15 16:00;1,9002;596,5;;6/3/15 16:00;1,9014;597,5;;6/4/15 2:30;140;424
 	42.158,69 ;3/6/15 16:30;1,885;596,75;;6/3/15 16:30;1,9649;597,75;;6/4/15 3:00;21;208
 	42.158,71 ;3/6/15 17:00;1,8975;596,75;;6/3/15 17:00;1,9055;598,75;;6/4/15 3:30;225;473
 	42.158,73 ;3/6/15 17:30;1,8992;596,75;;6/3/15 17:30;1,8997;598,75;;6/4/15 4:00;99;107
 	42.158,77 ;3/6/15 18:30;1,8979;596,75;;6/3/15 18:30;1,8986;598,75;;6/4/15 4:30;171;387
 	42.158,79 ;3/6/15 19:00;1,8977;596,75;;6/3/15 19:00;1,8979;598,75;;6/4/15 5:00;180;288
 	42.158,81 ;3/6/15 19:30;1,9036;596,75;;6/3/15 19:30;1,904;598,75;;6/4/15 5:30;46;67
 	42.158,83 ;3/6/15 20:00;1,9029;596,75;;6/3/15 20:00;1,9039;598,75;;6/4/15 6:00;57;179
 	42.158,85 ;3/6/15 20:30;1,9021;597,5;;6/3/15 20:30;1,9026;598;;6/4/15 6:30;44;173
 	42.158,88 ;3/6/15 21:00;1,9007;597;;6/3/15 21:00;1,9025;598;;6/4/15 7:00;13;71
 	42.158,90 ;3/6/15 21:30;1,9002;596,75;;6/3/15 21:30;1,9014;597,75;;6/4/15 7:30;801;459
 	42.158,92 ;3/6/15 22:00;1,8981;596;;6/3/15;1,8993;597;;6/4/15;1398;283
 	42.158,94 ;3/6/15 22:30;1,897;596;;6/3/15 22:30;1,899;597;;6/4/15 8:30;1917;275
 	42.158,96 ;3/6/15 23:00;1,8978;596,25;;6/3/15 23:00;1,8989;596,75;;6/4/15 9:00;2563;216
 	42.158,98 ;3/6/15 23:30;1,8979;596,25;;6/3/15 23:30;1,8995;596,75;;6/4/15 9:30;1373;363
 	42.159,00 ;4/6/15 0:00;1,8989;596,5;;6/4/15 0:00;1,8995;596,75;;6/4/15 10:00;1189;152
 	42.159,02 ;4/6/15 0:30;1,8987;596,25;;6/4/15 0:30;1,8995;596,75;;6/4/15 10:30;1991;1160
 	42.159,04 ;4/6/15 1:00;1,8974;596,25;;6/4/15 1:00;1,8984;596,5;;6/4/15 11:00;1832;1143
 	42.159,06 ;4/6/15 1:30;1,8968;595,75;;6/4/15 1:30;1,8981;596,25;;6/4/15 11:30;750;540
 	42.159,08 ;4/6/15 2:00;1,8985;596,5;;6/4/15 2:00;1,9002;597;;6/4/15 12:00;1182;174
 	42.159,10 ;4/6/15 2:30;1,8901;593,5;;6/4/15 2:30;1,8909;594;;6/4/15 12:30;1036;14
 	42.159,13 ;4/6/15 3:00;1,8935;594,25;;6/4/15 3:00;1,8944;594,75;;6/4/15 13:00;1207;950
 	42.159,15 ;4/6/15 3:30;1,8844;591;;6/4/15 3:30;1,885;591,5;;6/4/15 13:30;2469;134
 	42.159,17 ;4/6/15 4:00;1,8895;593;;6/4/15 4:00;1,8905;593,5;;6/4/15 14:00;1164;149
 	42.159,19 ;4/6/15 4:30;1,8894;593,5;;6/4/15 4:30;1,89;594;;6/4/15 14:30;1268;21
 	42.159,21 ;4/6/15 5:00;1,8959;595,75;;6/4/15 5:00;1,8968;596,5;;6/4/15 15:00;2055;9
 	42.159,23 ;4/6/15 5:30;1,8978;597;;6/4/15 5:30;1,8986;597,25;;6/4/15 15:30;771;9
 	42.159,25 ;4/6/15 6:00;1,9008;597,5;;6/4/15 6:00;1,9015;597,75;;6/4/15 16:00;328;9
 	42.159,27 ;4/6/15 6:30;1,8955;595,25;;6/4/15 6:30;1,8965;596;;6/4/15 16:30;109;9
 	42.159,29 ;4/6/15 7:00;1,8953;596;;6/4/15 7:00;1,8962;596,5;;6/4/15 17:30;7;9
 	42.159,31 ;4/6/15 7:30;1,8959;596,25;;6/4/15 7:30;1,8964;596,5;;6/4/15 18:30;7;9
 	42.159,33 ;4/6/15 8:00;1,8843;593;;6/4/15 8:00;1,8847;593,5;;6/4/15 19:00;7;9
 	42.159,35 ;4/6/15 8:30;1,8811;591,75;;6/4/15 8:30;1,8817;592,5;;6/4/15 19:30;1;9
 	42.159,38 ;4/6/15 9:00;1,8686;587,75;;6/4/15 9:00;1,8691;588,25;;6/4/15 20:00;1;9
 	42.159,40 ;4/6/15 9:30;1,8633;586,25;;6/4/15 9:30;1,8636;587;;6/4/15 20:30;3;9
 	42.159,42 ;4/6/15 10:00;1,8558;583,75;;6/4/15 10:00;1,8563;584,25;;6/4/15 21:00;1;9
 	42.159,44 ;4/6/15 10:30;1,8546;583,5;;6/4/15 10:30;1,8552;583,75;;6/4/15 21:30;3;9
 	42.159,46 ;4/6/15 11:00;1,8596;584,25;;6/4/15 11:00;1,8602;584,75;;6/4/15 22:00;3;9
 	42.159,48 ;4/6/15 11:30;1,8526;582,25;;6/4/15 11:30;1,8531;582,5;;6/4/15 22:30;3;9
 	42.159,50 ;4/6/15 12:00;1,8517;582,25;;6/4/15 12:00;1,8521;582,75;;6/4/15 23:00;2;9
 	42.159,52 ;4/6/15 12:30;1,855;582,75;;6/4/15 12:30;1,8556;583,25;;6/4/15 23:30;25;9
 	42.159,54 ;4/6/15 13:00;1,8534;582,5;;6/4/15 13:00;1,854;583;;6/5/15 0:00;25;9
 	42.159,56 ;4/6/15 13:30;1,852;582;;6/4/15 13:30;1,8524;582,5;;6/5/15 0:30;29;2
 	42.159,58 ;4/6/15 14:00;1,855;582,75;;6/4/15 14:00;1,8553;583,25;;6/5/15 1:00;8;2
 	42.159,60 ;4/6/15 14:30;1,8582;584;;6/4/15 14:30;1,8588;584,75;;6/5/15 1:30;57;44
 	42.159,63 ;4/6/15 15:00;1,857;583,25;;6/4/15 15:00;1,8575;584;;6/5/15 2:00;15;18
 	42.159,65 ;4/6/15 15:30;1,8542;582,75;;6/4/15 15:30;1,855;583,5;;6/5/15 2:30;15;357
 	42.159,67 ;4/6/15 16:00;1,8538;582,5;;6/4/15 16:00;1,8549;583,5;;6/5/15 3:00;121;6
 	42.159,69 ;4/6/15 16:30;1,8485;582,25;;6/4/15 16:30;1,8669;583,75;;6/5/15 3:30;74;363
 	42.159,71 ;4/6/15 17:00;1,85;581;;6/4/15 17:00;1,858;585,25;;6/5/15 4:00;197;755
 	42.159,73 ;4/6/15 17:30;1,8516;581;;6/4/15 17:30;1,8526;585,25;;6/5/15 4:30;100;846
 	42.159,77 ;4/6/15 18:30;1,8516;581;;6/4/15 18:30;1,852;585,25;;6/5/15 5:00;61;65
 	42.159,79 ;4/6/15 19:00;1,8519;581;;6/4/15 19:00;1,8525;585,25;;6/5/15 5:30;69;4
 	42.159,81 ;4/6/15 19:30;1,8527;581;;6/4/15 19:30;1,854;585,25;;6/5/15 6:00;25;1583
 	42.159,83 ;4/6/15 20:00;1,8525;581;;6/4/15 20:00;1,8536;585,25;;6/5/15 6:30;61;59
 	42.159,85 ;4/6/15 20:30;1,8509;581,75;;6/4/15 20:30;1,8526;582,5;;6/5/15 7:00;380;24
 	42.159,88 ;4/6/15 21:00;1,8519;582,25;;6/4/15 21:00;1,8529;582,75;;6/5/15 7:30;1027;182
 	42.159,90 ;4/6/15 21:30;1,8528;582,5;;6/4/15 21:30;1,8536;583,25;;6/5/15 8:00;1372;681
 	42.159,92 ;4/6/15 22:00;1,8532;582,75;;6/4/15;1,854;583,5;;6/5/15;2213;828
 	42.159,94 ;4/6/15 22:30;1,8538;582,75;;6/4/15 22:30;1,8541;583,5;;6/5/15 9:00;1597;776
 	42.159,96 ;4/6/15 23:00;1,8532;583;;6/4/15 23:00;1,8543;583,5;;6/5/15 9:30;1596;566
 	42.159,98 ;4/6/15 23:30;1,8554;583,5;;6/4/15 23:30;1,8567;584,25;;6/5/15 10:00;1076;292
 	42.160,00 ;5/6/15 0:00;1,8552;583,5;;6/5/15 0:00;1,8557;584;;6/5/15 10:30;1512;1114
 	42.160,02 ;5/6/15 0:30;1,8529;582,75;;6/5/15 0:30;1,8543;583,25;;6/5/15 11:00;848;679
 	42.160,04 ;5/6/15 1:00;1,8529;582,5;;6/5/15 1:00;1,8536;583;;6/5/15 11:30;869;58
 	42.160,06 ;5/6/15 1:30;1,8418;579,25;;6/5/15 1:30;1,8433;580;;6/5/15 12:00;1031;253
 	42.160,08 ;5/6/15 2:00;1,8452;580,5;;6/5/15 2:00;1,8464;581;;6/5/15 12:30;1280;3
 	42.160,10 ;5/6/15 2:30;1,8423;579,5;;6/5/15 2:30;1,8434;579,75;;6/5/15 13:00;1055;165
 	42.160,13 ;5/6/15 3:00;1,8408;578,75;;6/5/15 3:00;1,8417;579,25;;6/5/15 13:30;6783;36
 	42.160,15 ;5/6/15 3:30;1,8414;578,75;;6/5/15 3:30;1,8425;579,25;;6/5/15 14:00;835;131
 	42.160,17 ;5/6/15 4:00;1,8422;579,5;;6/5/15 4:00;1,8429;579,75;;6/5/15 14:30;2012;5
 	42.160,19 ;5/6/15 4:30;1,8505;581,75;;6/5/15 4:30;1,8513;582,5;;6/5/15 15:00;264;5
 	42.160,21 ;5/6/15 5:00;1,847;581;;6/5/15 5:00;1,8479;581,5;;6/5/15 15:30;33;5
 	42.160,23 ;5/6/15 5:30;1,852;582,5;;6/5/15 5:30;1,8527;583;;6/5/15 16:00;21;5
 	42.160,25 ;5/6/15 6:00;1,8491;581,25;;6/5/15 6:00;1,85;581,75;;6/5/15 16:30;14;1
 	42.160,27 ;5/6/15 6:30;1,8606;584,75;;6/5/15 6:30;1,8615;585,25;;6/7/15 18:30;23;1
 	42.160,29 ;5/6/15 7:00;1,8646;585,75;;6/5/15 7:00;1,8655;586,25;;6/7/15 19:00;10;1
 	42.160,31 ;5/6/15 7:30;1,8703;587,75;;6/5/15 7:30;1,8716;588,75;;6/7/15 19:30;10;1
 	42.160,33 ;5/6/15 8:00;1,8577;584,5;;6/5/15 8:00;1,8582;584,75;;6/7/15 20:00;68;1
 	42.160,35 ;5/6/15 8:30;1,8295;576;;6/5/15 8:30;1,8301;576,5;;6/7/15 20:30;19;1
 	42.160,38 ;5/6/15 9:00;1,8442;579,75;;6/5/15 9:00;1,8445;580,25;;6/7/15 21:00;29;1
 	42.160,40 ;5/6/15 9:30;1,8501;581,5;;6/5/15 9:30;1,8506;581,75;;6/7/15 21:30;44;1
 	42.160,42 ;5/6/15 10:00;1,8521;581,75;;6/5/15 10:00;1,8527;582,25;;6/7/15 22:00;2;1
 	42.160,44 ;5/6/15 10:30;1,8513;581,5;;6/5/15 10:30;1,8521;581,75;;6/7/15 22:30;2;1
 	42.160,46 ;5/6/15 11:00;1,8458;580;;6/5/15 11:00;1,8464;580,5;;6/7/15 23:00;2;1
 	42.160,48 ;5/6/15 11:30;1,844;579,75;;6/5/15 11:30;1,8445;580;;6/7/15 23:30;7;1
 	42.160,50 ;5/6/15 12:00;1,8439;579,75;;6/5/15 12:00;1,8443;580;;6/8/15 0:00;7;1
 	42.160,52 ;5/6/15 12:30;1,8533;582,5;;6/5/15 12:30;1,8538;583;;6/8/15 0:30;7;1
 	42.160,54 ;5/6/15 13:00;1,8575;584,25;;6/5/15 13:00;1,8579;584,5;;6/8/15 1:00;12;1
 	42.160,56 ;5/6/15 13:30;1,8789;591;;6/5/15 13:30;1,8794;591,5;;6/8/15 1:30;8;12
 	42.160,58 ;5/6/15 14:00;1,8782;590,5;;6/5/15 14:00;1,8787;591,25;;6/8/15 2:00;16;9
 	42.160,60 ;5/6/15 14:30;1,8744;589,5;;6/5/15 14:30;1,8751;590;;6/8/15 2:30;6;3
 	42.160,63 ;5/6/15 15:00;1,8755;589,75;;6/5/15 15:00;1,8763;590,25;;6/8/15 3:00;25;618
 	42.160,65 ;5/6/15 15:30;1,8749;589,75;;6/5/15 15:30;1,8757;590,25;;6/8/15 3:30;110;383
 	42.160,67 ;5/6/15 16:00;1,8751;589,5;;6/5/15 16:00;1,8754;590,5;;6/8/15 4:00;134;1293
 	42.160,69 ;5/6/15 16:30;1,821;588,25;;6/5/15 16:30;1,909;590;;6/8/15 4:30;64;763
 	42.160,71 ;5/6/15 17:00;1,821;588,25;;6/5/15 17:00;1,909;590;;6/8/15 5:00;50;908
 	42.162,77 ;7/6/15 18:30;1,8681;587,75;;6/7/15 18:30;1,8688;588,5;;6/8/15 5:30;2;1947
 	42.162,79 ;7/6/15 19:00;1,8666;587,25;;6/7/15 19:00;1,8686;588;;6/8/15 6:00;56;50
 	42.162,81 ;7/6/15 19:30;1,8667;587,25;;6/7/15 19:30;1,868;587,75;;6/8/15 6:30;38;230
 	42.162,83 ;7/6/15 20:00;1,8635;586,25;;6/7/15 20:00;1,8654;587,25;;6/8/15 7:00;173;6
 	42.162,85 ;7/6/15 20:30;1,8653;586,75;;6/7/15 20:30;1,8655;587,5;;6/8/15 7:30;479;330
 	42.162,88 ;7/6/15 21:00;1,866;587;;6/7/15 21:00;1,8665;587,75;;6/8/15 8:00;513;9
 	42.162,90 ;7/6/15 21:30;1,8644;586;;6/7/15 21:30;1,865;587,5;;6/8/15 8:30;1148;356
 	42.162,92 ;7/6/15 22:00;1,8618;585,5;;6/7/15 22:00;1,8634;586,5;;6/8/15 9:00;914;504
 	42.162,94 ;7/6/15 22:30;1,8616;585,75;;6/7/15;1,8633;586,5;;6/8/15;919;22
 	42.162,96 ;7/6/15 23:00;1,8626;585,75;;6/7/15 23:00;1,8631;586,5;;6/8/15 10:00;1146;593
 	42.162,98 ;7/6/15 23:30;1,8634;586;;6/7/15 23:30;1,8643;586,75;;6/8/15 10:30;1019;506
 	42.163,00 ;8/6/15 0:00;1,8658;587;;6/8/15 0:00;1,8671;587,75;;6/8/15 11:00;1122;203
 	42.163,02 ;8/6/15 0:30;1,8665;587,25;;6/8/15 0:30;1,8673;587,75;;6/8/15 11:30;749;450
 	42.163,04 ;8/6/15 1:00;1,866;587;;6/8/15 1:00;1,8669;587,5;;6/8/15 12:00;974;70
 	42.163,06 ;8/6/15 1:30;1,8648;586,5;;6/8/15 1:30;1,865;587;;6/8/15 12:30;875;277
 	42.163,08 ;8/6/15 2:00;1,8712;588,75;;6/8/15 2:00;1,8729;589,5;;6/8/15 13:00;1688;572
 	42.163,10 ;8/6/15 2:30;1,8722;589;;6/8/15 2:30;1,8733;589,25;;6/8/15 13:30;6108;74
 	42.163,13 ;8/6/15 3:00;1,871;588,75;;6/8/15 3:00;1,8723;589,25;;6/8/15 14:00;857;456
 	42.163,15 ;8/6/15 3:30;1,8685;587,5;;6/8/15 3:30;1,8693;588;;6/8/15 14:30;677;1
 	42.163,17 ;8/6/15 4:00;1,8676;587;;6/8/15 4:00;1,8684;587,5;;6/8/15 15:00;239;1
 	42.163,19 ;8/6/15 4:30;1,8713;588;;6/8/15 4:30;1,8728;588,5;;6/8/15 15:30;208;1
 	42.163,21 ;8/6/15 5:00;1,8718;588,5;;6/8/15 5:00;1,8729;588,75;;6/8/15 16:00;84;1
 	42.163,23 ;8/6/15 5:30;1,8698;587,75;;6/8/15 5:30;1,8705;588,25;;6/8/15 16:30;13;20
 	42.163,25 ;8/6/15 6:00;1,8675;587,25;;6/8/15 6:00;1,8683;587,5;;6/8/15 17:30;5;20
 	42.163,27 ;8/6/15 6:30;1,8718;588,25;;6/8/15 6:30;1,8727;588,5;;6/8/15 18:30;5;20
 	42.163,29 ;8/6/15 7:00;1,8661;586,75;;6/8/15 7:00;1,8678;587;;6/8/15 19:30;5;20
 	42.163,31 ;8/6/15 7:30;1,8688;588;;6/8/15 7:30;1,8696;588,5;;6/8/15 20:00;5;20
 	42.163,33 ;8/6/15 8:00;1,8685;587,25;;6/8/15 8:00;1,8689;587,75;;6/8/15 20:30;11;20
 	42.163,35 ;8/6/15 8:30;1,8643;586;;6/8/15 8:30;1,865;586,5;;6/8/15 21:00;1;20
 	42.163,38 ;8/6/15 9:00;1,8701;587,25;;6/8/15 9:00;1,8706;587,75;;6/8/15 21:30;3;20
 	42.163,40 ;8/6/15 9:30;1,8681;586,75;;6/8/15 9:30;1,8687;587;;6/8/15 22:00;3;20
 	42.163,42 ;8/6/15 10:00;1,8678;586,75;;6/8/15 10:00;1,8682;587,25;;6/8/15 22:30;25;10
 	42.163,44 ;8/6/15 10:30;1,8661;586,25;;6/8/15 10:30;1,8667;586,5;;6/8/15 23:00;14;10
 	42.163,46 ;8/6/15 11:00;1,8631;585,5;;6/8/15 11:00;1,8637;586;;6/8/15 23:30;4;10
 	42.163,48 ;8/6/15 11:30;1,8639;585,75;;6/8/15 11:30;1,8645;586,25;;6/9/15 0:00;4;10
 	42.163,50 ;8/6/15 12:00;1,8607;584,5;;6/8/15 12:00;1,8611;585;;6/9/15 0:30;4;10
 	42.163,52 ;8/6/15 12:30;1,8591;583,75;;6/8/15 12:30;1,8595;584,25;;6/9/15 1:00;8;10
 	42.163,54 ;8/6/15 13:00;1,8671;586;;6/8/15 13:00;1,8676;586,5;;6/9/15 1:30;22;10
 	42.163,56 ;8/6/15 13:30;1,8636;585;;6/8/15 13:30;1,8638;585,5;;6/9/15 2:00;14;14
 	42.163,58 ;8/6/15 14:00;1,8626;584,75;;6/8/15 14:00;1,8632;585,25;;6/9/15 2:30;5;14
 	42.163,60 ;8/6/15 14:30;1,8674;585,75;;6/8/15 14:30;1,8677;586,5;;6/9/15 3:00;1;14
 	42.163,63 ;8/6/15 15:00;1,8657;585,5;;6/8/15 15:00;1,8665;586,25;;6/9/15 3:30;21;21
 	42.163,65 ;8/6/15 15:30;1,8663;585,5;;6/8/15 15:30;1,8669;586,25;;6/9/15 4:00;168;1242
 	42.163,67 ;8/6/15 16:00;1,8657;585,25;;6/8/15 16:00;1,8665;586,25;;6/9/15 4:30;41;14
 	42.163,69 ;8/6/15 16:30;1,821;585;;6/8/15 16:30;1,871;586,25;;6/9/15 5:00;83;213
 	42.163,71 ;8/6/15 17:00;1,8643;584,25;;6/8/15 17:00;1,8643;586,75;;6/9/15 5:30;28;83
 	42.163,73 ;8/6/15 17:30;1,8666;584,25;;6/8/15 17:30;1,8671;586,75;;6/9/15 6:00;209;258
 	42.163,77 ;8/6/15 18:30;1,8647;584,25;;6/8/15 18:30;1,8666;586,75;;6/9/15 6:30;135;134
 	42.163,79 ;8/6/15 19:00;1,8661;584,25;;6/8/15 19:00;1,8666;586,75;;6/9/15 7:00;52;122
 	42.163,81 ;8/6/15 19:30;1,8666;584,25;;6/8/15 19:30;1,8683;586,75;;6/9/15 7:30;174;201
 	42.163,83 ;8/6/15 20:00;1,866;584,25;;6/8/15 20:00;1,8674;586,75;;6/9/15 8:00;1564;22
 	42.163,85 ;8/6/15 20:30;1,8685;586;;6/8/15 20:30;1,8688;586,75;;6/9/15 8:30;2807;239
 	42.163,88 ;8/6/15 21:00;1,8695;586,75;;6/8/15 21:00;1,8706;587,75;;6/9/15 9:00;1240;90
 	42.163,90 ;8/6/15 21:30;1,8677;586;;6/8/15 21:30;1,8694;587;;6/9/15 9:30;2207;171
 	42.163,92 ;8/6/15 22:00;1,8664;586;;6/8/15 22:00;1,869;586,75;;6/9/15 10:00;2197;1826
 	42.163,94 ;8/6/15 22:30;1,8671;585,75;;6/8/15 22:30;1,8684;586,25;;6/9/15 10:30;2718;1413
 	42.163,96 ;8/6/15 23:00;1,8656;585,75;;6/8/15 23:00;1,8679;586,25;;6/9/15 11:00;1368;704
 	42.163,98 ;8/6/15 23:30;1,8671;586,25;;6/8/15 23:30;1,8692;587;;6/9/15 11:30;1737;156
 	42.164,00 ;9/6/15 0:00;1,868;586,5;;6/9/15 0:00;1,8698;587;;6/9/15 12:00;1551;364
 	42.164,02 ;9/6/15 0:30;1,8688;586,25;;6/9/15 0:30;1,8707;587;;6/9/15 12:30;1364;1063
 	42.164,04 ;9/6/15 1:00;1,8693;586,25;;6/9/15 1:00;1,871;587,25;;6/9/15 13:00;1040;23
 	42.164,06 ;9/6/15 1:30;1,872;587,75;;6/9/15 1:30;1,8724;588,5;;6/9/15 13:30;4237;188
 	42.164,08 ;9/6/15 2:00;1,8687;586,5;;6/9/15 2:00;1,8706;587;;6/9/15 14:00;565;319
 	42.164,10 ;9/6/15 2:30;1,8698;586,75;;6/9/15 2:30;1,8709;587,5;;6/9/15 14:30;512;30
 	42.164,13 ;9/6/15 3:00;1,8673;586,5;;6/9/15 3:00;1,8682;587;;6/9/15 15:00;322;13
 	42.164,15 ;9/6/15 3:30;1,8768;589;;6/9/15 3:30;1,8784;589,5;;6/9/15 15:30;52;1
 	42.164,17 ;9/6/15 4:00;1,8854;591,5;;6/9/15 4:00;1,8865;591,75;;6/9/15 16:00;332;150
 	42.164,19 ;9/6/15 4:30;1,8881;592,25;;6/9/15 4:30;1,8889;592,5;;6/9/15 16:30;56;150
 	42.164,21 ;9/6/15 5:00;1,8848;591,75;;6/9/15 5:00;1,8858;592,25;;6/9/15 17:00;56;150
 	42.164,23 ;9/6/15 5:30;1,888;592,75;;6/9/15 5:30;1,8887;593,25;;6/9/15 17:30;42;150
 	42.164,25 ;9/6/15 6:00;1,9071;598;;6/9/15 6:00;1,9077;598,25;;6/9/15 18:30;42;150
 	42.164,27 ;9/6/15 6:30;1,9056;597,5;;6/9/15 6:30;1,9065;597,75;;6/9/15 19:00;42;150
 	42.164,29 ;9/6/15 7:00;1,9034;596,75;;6/9/15 7:00;1,9038;597,25;;6/9/15 19:30;148;150
 	42.164,31 ;9/6/15 7:30;1,9;596;;6/9/15 7:30;1,9008;596,5;;6/9/15 20:00;34;150
 	42.164,33 ;9/6/15 8:00;1,9113;598,75;;6/9/15 8:00;1,9119;599,25;;6/9/15 20:30;34;150
 	42.164,35 ;9/6/15 8:30;1,9187;600,75;;6/9/15 8:30;1,9191;601;;6/9/15 21:00;3;1
 	42.164,38 ;9/6/15 9:00;1,9219;601,25;;6/9/15 9:00;1,9222;601,75;;6/9/15 21:30;13;1
 	42.164,40 ;9/6/15 9:30;1,9289;603,25;;6/9/15 9:30;1,9293;603,5;;6/9/15 22:00;50;1
 	42.164,42 ;9/6/15 10:00;1,9292;603,25;;6/9/15 10:00;1,9296;603,5;;6/9/15 22:30;50;1
 	42.164,44 ;9/6/15 10:30;1,92;601;;6/9/15 10:30;1,9206;601,25;;6/9/15 23:00;5;1
 	42.164,46 ;9/6/15 11:00;1,9237;602;;6/9/15 11:00;1,9241;602,25;;6/9/15 23:30;5;100
 	42.164,48 ;9/6/15 11:30;1,9224;601,5;;6/9/15 11:30;1,9229;601,75;;6/10/15 0:00;16;100
 	42.164,50 ;9/6/15 12:00;1,9243;601,75;;6/9/15 12:00;1,9247;602,25;;6/10/15 0:30;1;100
 	42.164,52 ;9/6/15 12:30;1,932;604,25;;6/9/15 12:30;1,9325;604,75;;6/10/15 1:00;12;1
 	42.164,54 ;9/6/15 13:00;1,9288;603,5;;6/9/15 13:00;1,9293;604;;6/10/15 1:30;22;42
 	42.164,56 ;9/6/15 13:30;1,926;603;;6/9/15 13:30;1,9264;603,5;;6/10/15 2:00;14;2
 	42.164,58 ;9/6/15 14:00;1,9235;602,5;;6/9/15 14:00;1,9239;603;;6/10/15 2:30;22;108
 	42.164,60 ;9/6/15 14:30;1,9206;601,75;;6/9/15 14:30;1,9214;602,25;;6/10/15 3:00;41;13
 	42.164,63 ;9/6/15 15:00;1,9193;601;;6/9/15 15:00;1,9199;601,5;;6/10/15 3:30;160;739
 	42.164,65 ;9/6/15 15:30;1,9205;601,25;;6/9/15 15:30;1,9212;601,75;;6/10/15 4:00;73;202
 	42.164,67 ;9/6/15 16:00;1,9296;604,5;;6/9/15 16:00;1,9311;605,5;;6/10/15 4:30;9;202
 	42.164,69 ;9/6/15 16:30;1,9025;604,25;;6/9/15 16:30;1,948;606,5;;6/10/15 5:00;5;1
 	42.164,71 ;9/6/15 17:00;1,9328;604,25;;6/9/15;1,9328;606,5;;6/10/15;17;29
 	42.164,73 ;9/6/15 17:30;1,929;604,25;;6/9/15 17:30;1,9316;606,5;;6/10/15 6:00;11;56
 	42.164,77 ;9/6/15 18:30;1,9283;604,25;;6/9/15 18:30;1,9287;606,5;;6/10/15 6:30;44;8
 	42.164,79 ;9/6/15 19:00;1,9283;604,25;;6/9/15 19:00;1,9299;606,5;;6/10/15 7:00;70;8
 	42.164,81 ;9/6/15 19:30;1,928;604,25;;6/9/15 19:30;1,9289;606,5;;6/10/15 7:30;436;48
 	42.164,83 ;9/6/15 20:00;1,9282;604,25;;6/9/15 20:00;1,9289;606,5;;6/10/15 8:00;1502;680
 	42.164,85 ;9/6/15 20:30;1,9284;604;;6/9/15 20:30;1,9295;604,75;;6/10/15 8:30;1810;267
 	42.164,88 ;9/6/15 21:00;1,9305;604,5;;6/9/15 21:00;1,9309;605,25;;6/10/15 9:00;1170;1097
 	42.164,90 ;9/6/15 21:30;1,9303;604,5;;6/9/15 21:30;1,931;605,25;;6/10/15 9:30;1183;49
 	42.164,92 ;9/6/15 22:00;1,9349;606,25;;6/9/15 22:00;1,9365;607,25;;6/10/15 10:00;3072;389
 	42.164,94 ;9/6/15 22:30;1,9339;605,75;;6/9/15 22:30;1,9356;606,5;;6/10/15 10:30;2134;3709
 	42.164,96 ;9/6/15 23:00;1,9318;605;;6/9/15 23:00;1,9327;605,75;;6/10/15 11:00;3192;1179
 	42.164,98 ;9/6/15 23:30;1,9338;605,75;;6/9/15 23:30;1,935;606,25;;6/10/15 11:30;1218;26
 	42.165,00 ;10/6/15 0:00;1,9329;605,5;;6/10/15 0:00;1,9344;606;;6/10/15 12:00;1665;541
 	42.165,02 ;10/6/15 0:30;1,9358;606,75;;6/10/15 0:30;1,9378;607;;6/10/15 12:30;1828;190
 	42.165,04 ;10/6/15 1:00;1,939;607,5;;6/10/15 1:00;1,9409;608;;6/10/15 13:00;2100;807
 	42.165,06 ;10/6/15 1:30;1,9367;606,25;;6/10/15 1:30;1,938;607;;6/10/15 13:30;7362;244
 	42.165,08 ;10/6/15 2:00;1,9371;606,25;;6/10/15 2:00;1,9385;606,75;;6/10/15 14:00;662;43
 	42.165,10 ;10/6/15 2:30;1,9413;608;;6/10/15 2:30;1,9422;608,75;;6/10/15 14:30;643;5
 	42.165,13 ;10/6/15 3:00;1,9371;607;;6/10/15 3:00;1,9378;607,5;;6/10/15 15:00;100;18
 	42.165,15 ;10/6/15 3:30;1,9565;613;;6/10/15 3:30;1,9576;613,25;;6/10/15 15:30;84;6
 	42.165,17 ;10/6/15 4:00;1,9489;610,75;;6/10/15 4:00;1,9498;611,25;;6/10/15 16:00;87;9
 	42.165,19 ;10/6/15 4:30;1,9502;611,25;;6/10/15 4:30;1,9515;611,75;;6/10/15 16:30;18;12
 	42.165,21 ;10/6/15 5:00;1,9516;611,5;;6/10/15 5:00;1,9525;612;;6/10/15 17:00;18;205
 	42.165,23 ;10/6/15 5:30;1,9533;612,25;;6/10/15 5:30;1,9541;612,75;;6/10/15 17:30;48;205
 	42.165,25 ;10/6/15 6:00;1,9507;611,25;;6/10/15 6:00;1,952;611,75;;6/10/15 18:30;1;205
 	42.165,27 ;10/6/15 6:30;1,9532;612,25;;6/10/15 6:30;1,9539;612,5;;6/10/15 19:30;2;205
 	42.165,29 ;10/6/15 7:00;1,9526;611,75;;6/10/15 7:00;1,9537;612,25;;6/10/15 20:00;2;205
 	42.165,31 ;10/6/15 7:30;1,9541;612;;6/10/15 7:30;1,9545;612,5;;6/10/15 20:30;2;205
 	42.165,33 ;10/6/15 8:00;1,9503;610,75;;6/10/15 8:00;1,9507;611,25;;6/10/15 21:00;1;205
